Parent Service,API Name
Request Management Services,initiateDataPortabilityRequest
Request Management Services,initiateDataRectificationRequest
Request Management Services,initiateDataRectificationRequests
Request Management Services,initiateDataErasureRequest
Request Management Services,initiateRightToRestrictRequest
Request Management Services,initiateRightToObjectRequest
Request Management Services,getDataAccessRequestDetailsByUserToRoleId
Request Management Services,getDataPortabilityRequestDetailsByUserToRoleId
Request Management Services,getDataRectificationRequestDetailsByUserToRoleId
Request Management Services,getDataErasureRequestDetailsByUserToRoleId
Request Management Services,getRightToRestrictRequestDetailsByUserToRoleId
Request Management Services,getRightToObjectRequestDetailsByUserToRoleId
Request Management Services,getRequestDetailsByTitle
Request Management Services,requestAction
Request Management Services,checkApprovedStatusForUserByUserToRoleId
Request Management Services,getAccessRequestData
Request Management Services,getDataAccessRequestDetailsByRequestTitle
Request Management Services,getDataPortabilityRequestDetailsByRequestTitle
Request Management Services,getDataErasureRequestDetailsByRequestTitle
Request Management Services,getDataRectificationRequestDetailsByRequestTitle
Request Management Services,getRightToObjectRequestDetailsByRequestTitle
Request Management Services,getRightToRestrictRequestDetailsByRequestTitle
Request Management Services,fetchAllRequestCount
Request Management Services,hasRaisedDataAccess
Request Management Services,fetchTypeRequests
Request Management Services,initiateDataAccessRequestOnBehalf
Request Management Services,initiateDataPortabilityRequestOnBehalf
Request Management Services,initiateDataRectificationRequestOnBehalf
Request Management Services,getAccessRequestDataForUser
Request Management Services,initiateDataRectificationRequestsOnBehalf
Request Management Services,initiateDataErasureRequestOnBehalf
Request Management Services,initiateRightToRestrictRequestOnBehalf
Request Management Services,initiateRightToObjectRequestOnBehalf
Request Management Services,saveJsonTemplate
Request Management Services,fetchJsonTemplate
Request Management Services,saveXlstTemplate
Sensitive Field Services,fetchSensitiveFields (ver 1.0)
Sensitive Field Services,addSensitiveFields (ver 1.0)
Sensitive Field Services,updateSensitiveFields (ver 1.0)
Sensitive Field Services,deleteSensitiveFields (ver 1.0)
Sensitive Field Services,fetchSensitiveFieldNamesForThisPurpose
Sensitive Field Services,fetchPurposeDisplayIDsForThisField
Sensitive Field Services,fetchSensitiveFieldById
Tip Services,fetchTips
Tip Services,fetchTipsForPurpose
User Management Services,addUser
User Management Services,addMultipleUsers
User Management Services,fetchUser
User Management Services,deleteUser
User Management Services,addRole
User Management Services,addUserToRoleTenant
User Management Services,updateUserFields
User Management Services,changePassword
Tenant Management Services,addTenant
Tenant Management Services,getAllTenants
Tenant Management Services,getTenantForDisplayId
Workflow Services,getTasksFromInstancesInitiatedByUser
Workflow Services,getTasksForRole
Workflow Services,getTasksAssignedToUser
Workflow Services,claimTask
Workflow Services,completeTask
Workflow Services,getTaskObject
Workflow Services,deployProcessAndStartInstance
Workflow Services,getProcessVariableForTask
Workflow Services,getProcessVariableValueFromTask
Workflow Services,getProcessVariableValueFromTaskHistory
Workflow Services,setProcessVariableForTask
Workflow Services,setProcessVariableForProcessInstance
Workflow Services,addUserToSpecificGroupInActiviti
